"cashtag","avg_buy_qty","avg_sell_qty","pressure_score"
"HONG","4.995059E8","1.719859E8","3.2752E8"
"FCDY","1.772922E8","1.62553E7","1.610369E8"
"SMTR","1.212535E8","567500.0","1.20686E8"
"OCRG","1.003467E8","5127000.0","9.52197E7"
"MTNC","1.118758E8","1.80588E7","9.3817E7"
"GLOA","1.087481E8","2.29366E7","8.58115E7"
"BSLC","5.45338E7","976000.0","5.35578E7"
"ARTW","2.62785E7","1669600.0","2.46089E7"
"NEXB","2.07826E7","915500.0","1.98671E7"
"ARBB","1.98918E7","582900.0","1.93089E7"
"KNMP","2.26827E7","3749400.0","1.89333E7"
"AIZO","1.41858E7","3260500.0","1.09253E7"
"MPIR","1.03368E7","145000.0","1.01918E7"
"KYAC","1.85141E7","8655700.0","9858400.0"
"ADVA","9094800.0","764000.0","8330800.0"
"BKCB","9295700.0","1166500.0","8129200.0"
"ASMA","1.08697E7","6642100.0","4227600.0"
"ERHB","4936400.0","1014000.0","3922400.0"
"SFPT","6596800.0","3593900.0","3002900.0"
"BUAB","5495400.0","2584400.0","2911000.0"
"AIMD","2707100.0","60000.0","2647100.0"
"GOCE","2595800.0","58800.0","2537000.0"
"AVAG","2835500.0","462900.0","2372600.0"
"HDEB","2766600.0","717400.0","2049200.0"
"CARE","2592300.0","670800.0","1921500.0"
"DGBA","1900000.0","42000.0","1858000.0"
"KINE","2480800.0","696600.0","1784200.0"
"GDEX","2202500.0","581500.0","1621000.0"
"MJYA","1604700.0","74700.0","1530000.0"
"CFMS","2782200.0","1372900.0","1409300.0"
"NATI","1666600.0","358100.0","1308500.0"
"TWLH","6.28491E7","6.16588E7","1190300.0"
"MRHB","1614600.0","466500.0","1148100.0"
"ARTR","1290200.0","230000.0","1060200.0"
"EDUS","1390100.0","453900.0","936200.0"
"BINC","974400.0","103800.0","870600.0"
"LAYH","958100.0","98300.0","859800.0"
"GFMS","976600.0","191600.0","785000.0"
"SIGA","1048300.0","265300.0","783000.0"
"GENM","1055700.0","285000.0","770700.0"
"MYRS","1969400.0","1220000.0","749400.0"
"HHRG","1288800.0","593400.0","695400.0"
"LKLI","682300.0","9200.0","673100.0"
"KTIL","774300.0","145900.0","628400.0"
"SALU","712200.0","133300.0","578900.0"
"CNSH","661200.0","89600.0","571600.0"
"KUCI","862300.0","311700.0","550600.0"
"GADA","659900.0","115400.0","544500.0"
"GAQR","711200.0","212900.0","498300.0"
"LEFO","861700.0","365000.0","496700.0"
"LBSB","855400.0","381800.0","473600.0"
"SYST","546500.0","79500.0","467000.0"
"ABEL","458700.0","27800.0","430900.0"
"DNEX","6053400.0","5629000.0","424400.0"
"EVEG","463700.0","47400.0","416300.0"
"GIIB","575700.0","174500.0","401200.0"
"MFMS","477400.0","79700.0","397700.0"
"IWCI","619100.0","223300.0","395800.0"
"ECOH","1062100.0","667800.0","394300.0"
"CUSC","462600.0","68700.0","393900.0"
"SENH","548100.0","163400.0","384700.0"
"EDEL","662300.0","286400.0","375900.0"
"GTCY","593000.0","233300.0","359700.0"
"REN3","495200.0","138100.0","357100.0"
"GLOL","426900.0","81800.0","345100.0"
"MRDI","776400.0","432200.0","344200.0"
"MUHI","624600.0","283100.0","341500.0"
"TXCD","444100.0","107500.0","336600.0"
"MLTO","334300.0","100.0","334200.0"
"SWSB","330000.0","7700.0","322300.0"
"AURH","600900.0","279900.0","321000.0"
"CATH","320000.0","1700.0","318300.0"
"HIAP","437500.0","150000.0","287500.0"
"DEHB","561300.0","295900.0","265400.0"
"DIAL","577300.0","320300.0","257000.0"
"GNIC","401200.0","144200.0","257000.0"
"PMCS","339100.0","105600.0","233500.0"
"PARB","1895800.0","1687600.0","208200.0"
"MSWK","248400.0","41000.0","207400.0"
"ADVE","223500.0","19800.0","203700.0"
"KARY","202000.0","400.0","201600.0"
"CYPR","425200.0","232900.0","192300.0"
"GUHB","353900.0","165400.0","188500.0"
"FUJI","257900.0","71700.0","186200.0"
"AUTC","286600.0","100400.0","186200.0"
"ASTE","253400.0","69200.0","184200.0"
"PBAH","216100.0","32900.0","183200.0"
"SSOL","579600.0","397200.0","182400.0"
"MNHL","318100.0","135900.0","182200.0"
"ADVN","609100.0","429600.0","179500.0"
"DXNO","761900.0","583000.0","178900.0"
"LBAL","179000.0","2300.0","176700.0"
"SLCN","247700.0","72400.0","175300.0"
"CMSM","492400.0","317100.0","175300.0"
"CHHB","220200.0","51600.0","168600.0"
"DPIH","222500.0","55500.0","167000.0"
"GNCH","169400.0","4200.0","165200.0"
"OMES","526000.0","369900.0","156100.0"
"HIBI","212500.0","63000.0","149500.0"
"FPIB","177400.0","31200.0","146200.0"
"BPUR","353600.0","209000.0","144600.0"
"CORA","148100.0","14500.0","133600.0"
"KRIB","239000.0","106700.0","132300.0"
"SWIF","130000.0","4000.0","126000.0"
"AEMU","141000.0","15700.0","125300.0"
"JETS","220100.0","96000.0","124100.0"
"ROHA","143000.0","20000.0","123000.0"
"KGWG","167600.0","49400.0","118200.0"
"ONEG","140000.0","30000.0","110000.0"
"NCTA","174500.0","65200.0","109300.0"
"AWAN","215500.0","110300.0","105200.0"
"DUTA","134000.0","30000.0","104000.0"
"OCEF","97000.0","11400.0","85600.0"
"AMMB","231500.0","146200.0","85300.0"
"DUFU","270500.0","187100.0","83400.0"
"CWGH","102400.0","20000.0","82400.0"
"KRON","201900.0","120000.0","81900.0"
"LIFE","103100.0","24000.0","79100.0"
"KREJ","124900.0","49400.0","75500.0"
"ANCO","277000.0","202500.0","74500.0"
"PBSB","152000.0","78600.0","73400.0"
"CTOS","423000.0","349700.0","73300.0"
"SEDU","87300.0","15400.0","71900.0"
"OPPS","415100.0","343900.0","71200.0"
"OCEA","149900.0","80400.0","69500.0"
"KAWA","84700.0","15400.0","69300.0"
"ATNO","71000.0","10000.0","61000.0"
"SUPR","88800.0","28200.0","60600.0"
"TURY","64400.0","5000.0","59400.0"
"CHIU","65700.0","6300.0","59400.0"
"KARE","66900.0","11000.0","55900.0"
"HOME","60400.0","4600.0","55800.0"
"AGRI","74300.0","20000.0","54300.0"
"BMYS","75700.0","22800.0","52900.0"
"TUJU","52400.0","600.0","51800.0"
"KIML","51800.0","500.0","51300.0"
"FOPT","65500.0","15900.0","49600.0"
"LFEC","59400.0","10000.0","49400.0"
"PDZH","2815500.0","2766500.0","49000.0"
"KJTS","61400.0","13400.0","48000.0"
"ANCM","122400.0","74800.0","47600.0"
"BONI","61100.0","14600.0","46500.0"
"CABN","70500.0","25000.0","45500.0"
"BDBS","47000.0","5000.0","42000.0"
"KIMI","228000.0","186900.0","41100.0"
"ABLE","59600.0","19000.0","40600.0"
"KEYF","147600.0","110000.0","37600.0"
"MCRK","1039100.0","1002400.0","36700.0"
"DEST","90600.0","59000.0","31600.0"
"HPPH","46000.0","15000.0","31000.0"
"SERE","29700.0","500.0","29200.0"
"LEON","31700.0","3000.0","28700.0"
"ANNJ","33200.0","5000.0","28200.0"
"GRYB","29400.0","1800.0","27600.0"
"MGBB","77600.0","50300.0","27300.0"
"KUMP","32700.0","6000.0","26700.0"
"TAKA","26900.0","1200.0","25700.0"
"ITMA","38200.0","12600.0","25600.0"
"KELG","43600.0","18700.0","24900.0"
"CPET","72600.0","47900.0","24700.0"
"CITA","25000.0","2000.0","23000.0"
"ANCR","40000.0","17200.0","22800.0"
"LHCK","29400.0","8400.0","21000.0"
"IQGH","22000.0","1500.0","20500.0"
