"cashtag","name","total_volume"
"NEXB","NEXG","48752900"
"DNEX","DAGANG NEXCHANGE","29771200"
"MYRS","MSIAN RESOURCES","27710000"
"TWLH","TWL HOLDINGS","23991800"
"A1AK","A1 A K  KOH","21613200"
"NATI","NATIONGATE HOLD","19863100"
"GAMU","GAMUDA BHD","12486400"
"SOLR","SOLAR DISTRICT","11404900"
"BPUR","BINA PURI HLDGS","10317600"
"MUHI","MUHIBBAH ENGINE","9717400"
"SNSN","SNS NETWORK","8925700"
"GENM","GENTING MYS BHD","7979100"
"IOIP","IOI PROPERTIES","7676700"
"CIMB","CIMB GRP BHD","7428500"
"UCRE","UCREST BERHAD","7164000"
"CBHE","CBH ENGINEERING","7035100"
"GTCY","GENETEC TECHNOLO","6987800"
"BRNL","BORNEO OIL BHD","6766900"
"DOVT","D&0 GREEN TECH","6664500"
"MRDI","MR D.I.Y. GROUP","6327200"
"CENT","CENTRAL GLOBAL","5594100"
"AGMO","AGMO HOLDINGS","5548600"
"DIVF","DIVFEX","5469100"
"CYPR","CYPARK RESOURCE","5114600"
"KINE","KINERGY ADVANCEM","5039600"
"EGCM","EG INDUSTRIES","4766000"
"MNHL","MN HOLDINGS","4587700"
"LAND","LAND AND GENERAL","4422900"
"KPJH","KPJ HEALTHCARE","4351000"
"AEML","AEMULUS HOLDINGS","4336000"
"AMMB","AMMB HLDGS BHD","4270700"
"AVAG","AVANGAAD BERHAD","4261900"
"FUJI","FSBM HOLDINGS","4203000"
"CAPI","CAPITAL A","4181900"
"GENT","GENTING BHD","3941700"
"DUFU","DUFU TECHNOLOGY","3708300"
"KICB","KIMLUN CORP","3462600"
"CPET","CPE TECHNOLOGY","3191000"
"DEHB","DAYANG ENT HLDGS","3148800"
"GDEX","GDEX","3132600"
"AURH","AURO HOLDINGS","3088800"
"BINC","BINASAT COMMUNIC","3030300"
"GAQR","GABUNGAN AQRS","2996700"
"SWIT","SWIFT ENERGY TEC","2881000"
"BUAB","BUMI ARMADA","2793600"
"CORA","CORAZA INTEGRAT","2744700"
"GRNP","GREEN PACKET BHD","2676000"
"IWCI","ISKANDAR WCITY","2551800"
"AEOM","AEON CO. (M) BHD","2474900"
"CHEM","CHEMLITE INNOVAT","2463100"
"SYST","SYSTECH","2406100"
"KEYF","KEYFIELD INTERN","2394200"
"GFMS","GFM SERVICES","2340500"
"OPPS","OPPSTAR","2337200"
"BKCB","BINTAI KINDEN","2276600"
"REN3","3REN BERHAD","2179100"
"CAPE","CAPE EMS","2164100"
"SPEE","99 SPEED MART RE","2148800"
"AUMA","AUMAS RESOURCES","2136200"
"HSSE","HSS ENGINEERS","2010400"
"DIGS","DIGISTAR CORP","1983200"
"GNCH","GUAN CHONG BHD","1974700"
"SIVR","SILVER RIDGE HLD","1941600"
"KRIB","KOSSAN RUBBER","1940500"
"GNIC","GLOBETRONIC TECH","1922400"
"GDBH","GDB HOLDINGS","1915300"
"HIMO","HI MOBILITY","1892400"
"EWIC","EWI CAPITAL","1888800"
"AVIL","AVILLION BERHAD","1763900"
"SFPT","SFP TECH HOLDING","1725800"
"CMSM","CAHYA MATA S'WAK","1703800"
"EDEL","EDELTEQ HOLDING","1696500"
"ECOH","ECONPILE HLD-ORD","1687600"
"ASPY","ASIA POLY HLDGS","1647300"
"KSLH","KSL HOLDINGS","1594300"
"AUTC","AUTOCOUNT DOTCOM","1582600"
"LEOG","LEONG HUP INT","1574700"
"DRBM","DRB-HICOM","1566300"
"LBSB","LBS BINA GROUP","1564800"
"PANM","PAN MERCHANT","1501100"
"MFMS","MALAYAN FLOUR","1445100"
"TTVS","TT VISION HOLDIN","1350900"
"HONG","HONG SENG CONSOL","1331300"
"KHPT","KHPT HOLDINGS","1316400"
"KELG","KELINGTON GROUP","1250400"
"CRET","CREST GROUP","1208600"
"MJYA","MUDAJAYA GROUP","1198000"
"HHCS","HO HUP CONSTRUCT","1192800"
"CUCK","CUCKOO INTERNAT","1131800"
"DIAL","DIALOG GROUP","1131600"
"CROP","CROPMATE BHD","1114000"
"CUSC","CUSCAPI BHD","1082100"
"PECC","PECCA GROUP BHD","1041800"
"MSBG","MSB GLOBAL GROUP","1035300"
"NCHB","NAIM HLDGS BHD","1032300"
"ADVA","ADVANCE SYNERGY","992000"
"ANEK","ANEKA JARINGAN","943000"
"AZRB","AHMAD ZAKI RESOU","906700"
"HEXE","HEXTAR TECHNO","890500"
"CNSH","CENSOF HLD","889200"
"HIBI","HIBISCUS PETRO","875500"
"SLCN","SALCON BHD","875100"
"SIGA","SIGNATURE ALLIAN","863900"
"LLBM","LION INDUSTRIES","842200"
"KREJ","KERJAYA PROSPEK","813100"
"KAWA","KAWAN RENERGY","797800"
"FRKN","FRONTKEN CORP","786900"
"SIKC","SIK CHEONG","761500"
"HHRG","HHRG BHD","756600"
"INTA","INTA BINA GROUP","749600"
"AURE","AURELIUS TECHNO","747700"
"LOTT","LOTTE CHEMICAL","747500"
"OBHO","OB HOLDINGS","739300"
"AIMF","AIMFLEX BHD","726600"
"KUCI","KUCINGKO","710000"
"CELC","CELCOMDIGI","698800"
"MGBB","MGB BERHAD","697700"
"CRIT","CRITICAL HOLD","688000"
"ANCR","AEON CREDIT","683800"
"CHHB","COUNTRY HEIGHTS","682500"
"CARE","CAREPLUS GROUP","677300"
"PEKA","PEKAT GROUP","676300"
"ESCB","EVERSENDAI CORP","676100"
"DXNO","DXN HOLDINGS","676000"
"MCRK","MICROLINK SOLUTI","671000"
"MSMH","MSM M'SIA HOLDGS","654500"
"ASMA","ASM AUTOMATION","625300"
"KNMP","KNM GROUP BHD","597600"
"OCEN","OCEAN VANTAGE","556900"
"KGWG","KGW GROUP","539000"
"GADA","GADANG HLDGS BHD","538700"
"SMRS","SMRT HOLDINGS","535500"
"CTOS","CTOS DIGITAL","534100"
"MQTE","MQ TECHNOLOGY","528300"
"SENH","SENHENG NEW","516900"
"MIKB","MIKRO MSC BHD","513700"
"SEDU","SEG INTL","511600"
"DEST","DESTINI BHD","495900"
"GCAP","G CAPITAL BERHAD","485500"
"ECOR","ECONFRAME","483600"
"ANCM","ANCOM NYLEX","477300"
"DATA","DATAPREP HOLDING","475200"
"SYNE","SYNERGY HOUSE","470000"
"MANS","MANAGEPAY SYSTEM","467000"
"MSCB","MSIA SMELTING CO","466000"
"EVGN","EVERGREEN FIBREB","462000"
"SNTO","SENTORIA GROUP","461600"
"BWYS","BWYS GROUP","457000"
"MARI","MARINE & GENERAL","457000"
"ITMA","ITMAX SYSTEM","427300"
"OLYM","OLYMPIA IND BHD","427300"
"KIMT","KIM TECK","421600"
"OCKG","OCK GROUP BHD","415200"
"NCTA","NCT ALLIANCE","410700"
"AVAL","AVALAND","397000"
"MITE","MI TECHNOVATION","394600"
"CENG","CENGILD MEDICAL","394100"
"GOCE","GREEN OCEAN CORP","375100"
"SMAR","SMART ASIA CHE","369400"
"EVEG","EVERGREEN MAX CA","365100"
"ERHB","EURO HOLDINGS","355500"
"HLBB","HONG LEONG BANK","341300"
"ANCO","ANCOM  LOG BHD","332000"
"DUOP","DUOPHARMA BIO","325600"
"PARB","P.A. RESOURCES","325200"
"SENI","SENI JAYA CORP","312000"
"CABC","CAB CAKARAN CORP","307800"
"HTVE","HIAP TECK VENTUR","298100"
"PEGA","PEGASUS HEIGHTS","294100"
"LPGL","L&P GLOBAL","288900"
"SALU","SALUTICA BERHAD","284900"
"KFIM","KUMPULAN FIMA","284000"
"PAND","PANDA ECO SYSTEM","279300"
"HLTG","HLT GLOBAL BHD","278600"
"ADVE","ADVENTA BHD","277500"
"BMYS","BURSA MALAYSIA","271000"
"ANNJ","ANN JOO RESOURCE","268500"
"GIIB","GIIB HOLDINGS","265700"
"BMGR","BM GREENTECH BER","264900"
"KGRP","KEY ALLIANCE","259800"
"FPIB","FORMOSA PROSONIC","258700"
"AIRX","AIRASIA X BHD","257900"
"BETA","BETAMEK BERHAD","252300"
"JETS","KUMPULAN JETSON","249000"
"KIMH","KIM HIN INDUSTRY","244500"
"KRON","KRONOLOGI ASIA","236700"
"GASM","GAS MALAYSIA","236100"
"MOBI","MOBILIA HOLDINGS","234000"
"NEXG","NEXGRAM HLDNGS","228700"
"RIMB","RIMBUNAN SAWIT","226600"
"SYML","SYMPHONY LIFE","223500"
"MSWK","MSIA STEEL WORKS","219500"
"KIML","KIM LOONG RESOUR","217300"
"PIEN","P.I.E INDUSTRIAL","216700"
"FOPT","FOCUS POINT HLDG","215000"
"KNNK","KENANGA INVEST","214800"
"KTIL","KTI LANDMARK","206200"
"LGMS","LGMS","193300"
"ABMF","ABM FUJIYA BHD","190700"
"TUNE","TUNE PROTECT GRP","190300"
"ADVN","ADVANCECON HLD","179200"
"ARTW","AHB HOLDINGS","173500"
"KUMP","KUMPULAN KITACON","173000"
"PASU","PASUKHAS GROUP","172100"
"GLOT","GLOBALTEC FORM","170200"
"GAGA","GAGASAN NADI","166000"
"MALY","MALAYAN CEMENT","165900"
"HDEB","HANDAL ENERGY","165400"
"DFCI","DFCITY GROUP","164400"
"KOBA","KOBAY TECHNOLOGY","163400"
"COMF","COMFORT GLOVES","163300"
"SWSB","SWS CAPITAL BHD","161100"
"PBAH","PBA HLDGS BHD","159500"
"DNCE","D'NONCE TECHNOLO","150000"
"AFIN","AFFIN BANK","149900"
"BSLC","BSL CORPORATION","145900"
"BONI","BONIA CORP","141500"
"GENP","GENTING PLANT","139500"
"TAKA","SYT TAKAFUL MSIA","130900"
"KLKK","K.LUMPUR KEPONG","130500"
"DSSI","DS SIGMA HOLDING","126900"
"AWAN","AWANBIRU TECHNO","125500"
"NNCB","N2N CONNECT BHD","118100"
"MLTO","MALTON BHD","117300"
"SWIF","SWIFT HAULAGE","116000"
"SENG","SENG FONG HOLDIN","115900"
"IOIB","IOI CORP BHD","114700"
"GKMS","GEORGE KENT MSIA","108900"
"MSTG","MST GOLF GROUP","102200"
"AIMD","ADVANCE INFO MKT","100000"
"LAYH","LAY HONG BHD","98600"
"NETX","NETX HOLDINGS","97700"
"OMES","OMESTI BHD","97000"
"ASTR","ASTRO MALAYSIA","96100"
"ABLE","ABLE GLOBAL","94000"
"APHB","ASIAN PAC HLDGS","93000"
"KJTS","KJTS GROUP","92600"
