No,CASHTAG,NAME,PRICE,CLOSE,CHG,%CHG,VOLUME,HIGH,LOW,BUY (QTY),SELL (QTY)
0,$REN3,3REN BERHAD,0.255,0.25,0.010,4.080%,2068300,0.26,0.25,0.250 (470200),0.255 (244400)
1,$SEVE,7-ELEVEN M'SIA,1.990,1.99,0.000,0.000%,0,1.99,1.99,1.980 (500),2.000 (116900)
2,$SPEE,99 SPEED MART RE,2.250,2.26,-0.010,-0.440%,2144300,2.26,2.23,2.250 (92600),2.260 (255700)
3,$ARNK,A-RANK BHD,0.435,0.44,0.000,0.000%,0,0.45,0.44,0.425 (4500),0.480 (7000)
4,$A1AK,A1 A K  KOH,0.250,0.00,0.000,0.000%,21134200,0.26,0.25,0.245 (3095200),0.250 (5059800)
5,$ABLE,ABLE GLOBAL,1.520,1.53,-0.010,-0.650%,92700,1.52,1.51,1.510 (44900),1.520 (20300)
6,$ABEL,ABLEGROUP BHD,0.070,0.08,-0.005,-6.670%,53700,0.08,0.07,0.070 (258700),0.075 (27800)
7,$ABMF,ABM FUJIYA BHD,0.290,0.32,-0.030,-9.380%,190700,0.30,0.28,0.275 (10000),0.285 (38300)
8,$ACME,ACME HOLDGS BHD,0.125,0.13,-0.005,-3.850%,11000,0.13,0.13,0.125 (20000),0.130 (500)
9,$ACOG,ACO GROUP BERHAD,0.205,0.20,0.005,2.500%,50100,0.21,0.20,0.200 (82000),0.205 (145500)
10,$REN3,3REN BERHAD,0.255,0.25,0.010,4.080%,2068300,0.26,0.25,0.250 (470200),0.255 (244400)
11,$SEVE,7-ELEVEN M'SIA,1.990,1.99,0.000,0.000%,0,1.99,1.99,1.980 (500),2.000 (116900)
12,$SPEE,99 SPEED MART RE,2.250,2.26,-0.010,-0.440%,2144300,2.26,2.23,2.250 (92600),2.260 (255700)
13,$ARNK,A-RANK BHD,0.435,0.44,0.000,0.000%,0,0.45,0.44,0.425 (4500),0.480 (7000)
14,$A1AK,A1 A K  KOH,0.250,0.00,0.000,0.000%,21134200,0.26,0.25,0.245 (3095200),0.250 (5059800)
15,$ABLE,ABLE GLOBAL,1.520,1.53,-0.010,-0.650%,92700,1.52,1.51,1.510 (44900),1.520 (20300)
